Rank,City,Crime Cost per Capita,Violent Crime Rate,Property Crime Rate,Total Crime Cost (in millions)
201,"Hampton, VA","$2,396",270,"2,906","$332,605"
202,"Las Cruces, NM","$2,406",617,"5,340","$274,489"
203,"Waterbury, CT","$2,420",390,"2,874","$274,576"
204,"Waco, TX","$2,421",643,"3,229","$341,153"
205,"Springfield, MA","$2,450",862,"2,370","$379,837"
206,"Gainesville, FL","$2,473",785,"3,128","$359,082"
207,"Lakewood, CO","$2,489",814,"5,324","$390,920"
208,"High Point, NC","$2,509",548,"2,692","$286,771"
209,"Tuscaloosa, AL","$2,530",638,"2,882","$256,232"
210,"Los Angeles, CA","$2,539",834,"2,708","$9,671,140"
211,"Wichita, KS","$2,586",931,"3,524","$1,019,461"
212,"Charlotte-Mecklenburg, NC","$2,592",746,"3,375","$2,476,251"
212,"Charlotte-Mecklenburg, NC","$2,592",746,"3,375","$2,476,251"
214,"Sacramento, CA","$2,638",902,"3,167","$1,392,919"
215,"Wichita Falls, TX","$2,653",470,"2,868","$274,134"
216,"Jackson, MS","$2,670",1559,742,"$389,926"
217,"Columbus, OH","$2,683",450,"3,484","$2,436,715"
218,"Orlando, FL","$2,721",836,"4,028","$845,347"
219,"Tucson, AZ","$2,779",714,"4,148","$1,518,810"
220,"Fresno, CA","$2,780",865,"3,449","$1,520,549"
221,"Salt Lake City, UT","$2,783",978,"6,423","$560,437"
222,"Amarillo, TX","$2,811",763,"3,471","$566,683"
223,"Dallas, TX","$2,834",778,"3,813","$3,645,235"
224,"Jacksonville, FL","$2,838",684,"2,571","$2,756,956"
225,"Syracuse, NY","$2,856",891,"3,051","$414,619"
226,"Grand Rapids, MI","$2,872",979,"3,006","$564,849"
227,"Durham, NC","$2,890",687,"3,317","$827,734"
228,"Topeka, KS","$2,910",964,"3,708","$365,687"
229,"Newark, NJ","$2,936",520,"1,820","$893,491"
230,"Corpus Christi, TX","$2,942",791,"3,121","$934,547"
231,"Phoenix, AZ","$2,949",825,"2,902","$4,830,180"
232,"Victorville, CA","$2,956",940,"1,812","$405,434"
233,"Greensboro, NC","$2,962",819,"3,785","$884,861"
234,"St. Paul, MN","$2,978",766,"4,648","$826,430"
235,"Billings, MT","$3,008",929,"4,317","$354,569"
236,"Newport News, VA","$3,035",610,"2,302","$558,154"
237,"Lubbock, TX","$3,057",1063,"4,135","$807,521"
238,"Inglewood, CA","$3,062",665,"2,900","$314,993"
239,"Lafayette, LA","$3,106",479,"4,388","$377,577"
240,"Richmond, CA","$3,135",874,"2,709","$360,632"
241,"Anchorage, AK","$3,264",1151,"2,764","$932,846"
242,"Metropolitan Nashville Police Department, TN","$3,268",1102,"3,825","$2,220,972"
243,"Portland, OR","$3,319",751,"6,324","$2,091,275"
244,"Winston-Salem, NC","$3,365",1176,"3,894","$845,677"
245,"Tulsa, OK","$3,405",929,"4,272","$1,396,708"
246,"Stockton, CA","$3,504",1157,"2,744","$1,133,607"
247,"Knoxville, TN","$3,521",842,"3,908","$685,623"
248,"Chicago, IL","$3,553",540,"3,133","$9,469,058"
249,"Aurora, CO","$3,572",1077,"4,229","$1,400,743"
250,"Paterson, NJ","$3,614",1100,"2,224","$566,025"
251,"San Antonio, TX","$3,619",883,"5,069","$5,304,180"
252,"Rockford, IL","$3,628",1430,"2,635","$532,259"
253,"Fayetteville, NC","$3,635",978,"3,457","$759,745"
254,"Mobile, AL","$3,647",927,"3,013","$872,742"
255,"Chattanooga, TN","$3,647",1137,"5,221","$665,968"
256,"Springfield, MO","$3,647",1418,"4,909","$619,408"
257,"Denver, CO","$3,678",1070,"6,428","$2,593,734"
258,"Lansing, MI","$3,719",1279,"2,691","$418,619"
259,"Beaumont, TX","$3,751",1080,"3,882","$415,927"
260,"Vallejo, CA","$3,755",974,"4,232","$465,405"
261,"East Los Angeles, CA","$3,778",967,"3,178","$426,766"
262,"Richmond, VA","$3,788",360,"3,433","$861,137"
263,"Evansville, IN","$3,969",719,"3,767","$459,318"
264,"Akron, OH","$3,985",821,"3,429","$751,309"
265,"Savannah, GA","$4,037",845,"3,464","$597,373"
266,"South Fulton, GA","$4,091",1041,"2,638","$450,453"
267,"Houston, TX","$4,098",1142,"4,582","$9,328,930"
268,"Buffalo, NY","$4,132",736,"3,211","$1,139,289"
269,"Minneapolis, MN","$4,202",1226,"5,262","$1,786,105"
270,"Cincinnati, OH","$4,324",842,"3,751","$1,330,850"
271,"Louisville, KY","$4,395",912,"3,678","$2,744,477"
272,"Pittsburgh, PA","$4,418",1433,"2,109","$1,338,298"
273,"South Bend, IN","$4,427",1412,"2,995","$469,235"
274,"Indianapolis, IN","$4,515",1028,"3,377","$4,002,486"
275,"Norfolk, VA","$4,562",703,"4,872","$1,064,892"
276,"Shreveport, LA","$4,589",811,"3,790","$829,435"
277,"Washington, DC","$4,641",745,"3,484","$3,117,686"
278,"Hartford, CT","$4,644",570,"2,478","$560,452"
279,"Peoria, IL","$4,649",1189,"3,138","$513,964"
280,"Toledo, OH","$4,652",1163,"3,081","$1,242,061"
281,"Kansas City, KS","$4,847",994,"4,167","$739,457"
282,"Albuquerque, NM","$4,916",1380,"4,796","$2,755,599"
283,"Rochester, NY","$4,963",731,"3,581","$1,043,578"
284,"North Charleston, SC","$4,976",942,"4,805","$593,133"
285,"Tacoma, WA","$5,140",1610,"8,540","$1,125,815"
286,"Dayton, OH","$5,146",1171,"4,286","$705,374"
287,"Baton Rouge, LA","$5,388",1028,"5,852","$1,184,971"
288,"Atlanta, GA","$5,502",841,"3,748","$2,727,534"
289,"Philadelphia, PA","$5,570",1041,"4,321","$8,665,660"
290,"San Bernardino, CA","$5,691",1186,"2,955","$1,266,959"
291,"Oakland, CA","$5,710",1521,"6,475","$2,446,202"
292,"Pueblo, CO","$5,979",1621,"6,390","$673,312"
293,"Kansas City, MO","$6,398",1481,"4,715","$3,255,798"
294,"Milwaukee, WI","$7,029",1509,"3,507","$3,948,738"
295,"Cleveland, OH","$7,397",1614,"4,317","$2,675,317"
296,"Little Rock, AR","$7,781",1833,"5,349","$1,567,897"
297,"Baltimore, MD","$8,160",1553,"3,277","$4,655,501"
298,"Memphis, TN","$9,056",2421,"7,166","$5,659,341"
299,"Detroit, MI","$9,281",2028,"4,478","$5,817,110"
300,"St. Louis, MO","$11,055",1472,"7,254","$3,162,440"
301,"New Orleans, LA","$11,094",1444,"4,641","$4,106,040"
302,"Birmingham, AL","$11,392",1682,"4,173","$2,222,033"
